media,extension,mimetype
video,mp4,video/mp4
audio,mp4,audio/mp4
video,mp4,application/mp4
video,flv,video/mp4
video,flv,video/3gpp
video,flv,video/quicktime
audio,flv,audio/mp4
video,avi,video/avi
video,avi,video/msvideo
video,mpeg,video/mpeg
audio,mpeg,audio/mpeg
video,mpeg,video/mpg
video,mpg,video/mpg
video,mpg,video/mpeg
audio,mpg,audio/mpeg
audio,mp2,audio/mpeg
video,mp2,video/mpeg
video,mp2,video/mpg
video,mov,video/quicktime
audio,wav,audio/wav
audio,aiff,audio/aiff
audio,aif,audio/aiff
audio,mp3,audio/mp3
audio,mp3,audio/mpeg
audio,mp3,audio/mpg
audio,m4a,audio/aac
audio,flac,audio/flac
image,jpeg,image/jpeg
image,jpg,image/jpeg
image,png,image/png
image,gif,image/gif
document,pdf,application/pdf
document,doc,application/msword
document,ppt,application/mspowerpoint
document,xls,application/vnd.ms-excel
document,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
document,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
document,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
archive,zip,application/zip
archive,rar,application/x-rar-compressed
archive,7z,application/x-7z-compressed
archive,bz2,application/x-bzip2
archive,gz,application/x-gzip
archive,tar,application/x-tar